ParameterNmbr ParameterName Filename Row.Number Col.Start Col.End DecimalPlaces
4            RCHRG_DP     000010014.gw 9            1            16           7           
4            RCHRG_DP     000010015.gw 9            1            16           7           
4            RCHRG_DP     000010016.gw 9            1            16           7           
4            RCHRG_DP     000010017.gw 9            1            16           7           
4            RCHRG_DP     000010018.gw 9            1            16           7           
4            RCHRG_DP     000010019.gw 9            1            16           7           
4            RCHRG_DP     000010020.gw 9            1            16           7           
4            RCHRG_DP     000010021.gw 9            1            16           7           
4            RCHRG_DP     000020001.gw 9            1            16           7           
4            RCHRG_DP     000020002.gw 9            1            16           7           
4            RCHRG_DP     000020003.gw 9            1            16           7           
4            RCHRG_DP     000020004.gw 9            1            16           7           
4            RCHRG_DP     000020005.gw 9            1            16           7           
4            RCHRG_DP     000020006.gw 9            1            16           7           
4            RCHRG_DP     000020007.gw 9            1            16           7           
4            RCHRG_DP     000020008.gw 9            1            16           7           
4            RCHRG_DP     000020009.gw 9            1            16           7           
4            RCHRG_DP     000020010.gw 9            1            16           7           
4            RCHRG_DP     000020011.gw 9            1            16           7           
4            RCHRG_DP     000020012.gw 9            1            16           7           
4            RCHRG_DP     000020013.gw 9            1            16           7           
4            RCHRG_DP     000020014.gw 9            1            16           7           
4            RCHRG_DP     000020015.gw 9            1            16           7           
4            RCHRG_DP     000020016.gw 9            1            16           7           
4            RCHRG_DP     000020017.gw 9            1            16           7           
4            RCHRG_DP     000020018.gw 9            1            16           7           
4            RCHRG_DP     000020019.gw 9            1            16           7           
4            RCHRG_DP     000020020.gw 9            1            16           7           
4            RCHRG_DP     000020021.gw 9            1            16           7           
4            RCHRG_DP     000020022.gw 9            1            16           7           
4            RCHRG_DP     000020023.gw 9            1            16           7           
4            RCHRG_DP     000020024.gw 9            1            16           7           
4            RCHRG_DP     000020025.gw 9            1            16           7           
4            RCHRG_DP     000020026.gw 9            1            16           7           
4            RCHRG_DP     000020027.gw 9            1            16           7           
4            RCHRG_DP     000020028.gw 9            1            16           7           
4            RCHRG_DP     000020029.gw 9            1            16           7           
4            RCHRG_DP     000020030.gw 9            1            16           7           
4            RCHRG_DP     000020031.gw 9            1            16           7           
4            RCHRG_DP     000020032.gw 9            1            16           7           
4            RCHRG_DP     000030001.gw 9            1            16           7           
4            RCHRG_DP     000030002.gw 9            1            16           7           
4            RCHRG_DP     000030003.gw 9            1            16           7           
4            RCHRG_DP     000030004.gw 9            1            16           7           
4            RCHRG_DP     000030005.gw 9            1            16           7           
4            RCHRG_DP     000030006.gw 9            1            16           7           
4            RCHRG_DP     000030007.gw 9            1            16           7           
4            RCHRG_DP     000030008.gw 9            1            16           7           
4            RCHRG_DP     000030009.gw 9            1            16           7           
4            RCHRG_DP     000030010.gw 9            1            16           7           
4            RCHRG_DP     000030011.gw 9            1            16           7           
4            RCHRG_DP     000030012.gw 9            1            16           7           
4            RCHRG_DP     000030013.gw 9            1            16           7           
4            RCHRG_DP     000030014.gw 9            1            16           7           
4            RCHRG_DP     000030015.gw 9            1            16           7           
4            RCHRG_DP     000030016.gw 9            1            16           7           
4            RCHRG_DP     000030017.gw 9            1            16           7           
4            RCHRG_DP     000030018.gw 9            1            16           7           
4            RCHRG_DP     000030019.gw 9            1            16           7           
4            RCHRG_DP     000040001.gw 9            1            16           7           
4            RCHRG_DP     000040002.gw 9            1            16           7           
4            RCHRG_DP     000040003.gw 9            1            16           7           
4            RCHRG_DP     000040004.gw 9            1            16           7           
4            RCHRG_DP     000040005.gw 9            1            16           7           
4            RCHRG_DP     000040006.gw 9            1            16           7           
4            RCHRG_DP     000040007.gw 9            1            16           7           
4            RCHRG_DP     000040008.gw 9            1            16           7           
4            RCHRG_DP     000040009.gw 9            1            16           7           
4            RCHRG_DP     000040010.gw 9            1            16           7           
4            RCHRG_DP     000040011.gw 9            1            16           7           
4            RCHRG_DP     000040012.gw 9            1            16           7           
4            RCHRG_DP     000040013.gw 9            1            16           7           
4            RCHRG_DP     000040014.gw 9            1            16           7           
4            RCHRG_DP     000040015.gw 9            1            16           7           
4            RCHRG_DP     000040016.gw 9            1            16           7           
4            RCHRG_DP     000040017.gw 9            1            16           7           
4            RCHRG_DP     000040018.gw 9            1            16           7           
4            RCHRG_DP     000040019.gw 9            1            16           7           
4            RCHRG_DP     000040020.gw 9            1            16           7           
4            RCHRG_DP     000040021.gw 9            1            16           7           
4            RCHRG_DP     000040022.gw 9            1            16           7           
4            RCHRG_DP     000040023.gw 9            1            16           7           
4            RCHRG_DP     000040024.gw 9            1            16           7           
4            RCHRG_DP     000040025.gw 9            1            16           7           
4            RCHRG_DP     000040026.gw 9            1            16           7           
4            RCHRG_DP     000050001.gw 9            1            16           7           
4            RCHRG_DP     000050002.gw 9            1            16           7           
4            RCHRG_DP     000050003.gw 9            1            16           7           
4            RCHRG_DP     000050004.gw 9            1            16           7           
4            RCHRG_DP     000050005.gw 9            1            16           7           
4            RCHRG_DP     000050006.gw 9            1            16           7           
4            RCHRG_DP     000050007.gw 9            1            16           7           
4            RCHRG_DP     000050008.gw 9            1            16           7           
4            RCHRG_DP     000050009.gw 9            1            16           7           
4            RCHRG_DP     000050010.gw 9            1            16           7           
4            RCHRG_DP     000050011.gw 9            1            16           7           
4            RCHRG_DP     000050012.gw 9            1            16           7           
4            RCHRG_DP     000050013.gw 9            1            16           7           
4            RCHRG_DP     000050014.gw 9            1            16           7           
4            RCHRG_DP     000050015.gw 9            1            16           7           
4            RCHRG_DP     000050016.gw 9            1            16           7           
5            GWQMN        000010001.gw 6            1            16           7           
5            GWQMN        000010002.gw 6            1            16           7           
5            GWQMN        000010003.gw 6            1            16           7           
5            GWQMN        000010004.gw 6            1            16           7           
5            GWQMN        000010005.gw 6            1            16           7           
5            GWQMN        000010006.gw 6            1            16           7           
5            GWQMN        000010007.gw 6            1            16           7           
5            GWQMN        000010008.gw 6            1            16           7           
5            GWQMN        000010009.gw 6            1            16           7           
5            GWQMN        000010010.gw 6            1            16           7           
5            GWQMN        000010011.gw 6            1            16           7           
5            GWQMN        000010012.gw 6            1            16           7           
5            GWQMN        000010013.gw 6            1            16           7           
5            GWQMN        000010014.gw 6            1            16           7           
5            GWQMN        000010015.gw 6            1            16           7           
5            GWQMN        000010016.gw 6            1            16           7           
5            GWQMN        000010017.gw 6            1            16           7           
5            GWQMN        000010018.gw 6            1            16           7           
5            GWQMN        000010019.gw 6            1            16           7           
5            GWQMN        000010020.gw 6            1            16           7           
5            GWQMN        000010021.gw 6            1            16           7           
5            GWQMN        000020001.gw 6            1            16           7           
5            GWQMN        000020002.gw 6            1            16           7           
5            GWQMN        000020003.gw 6            1            16           7           
5            GWQMN        000020004.gw 6            1            16           7           
5            GWQMN        000020005.gw 6            1            16           7           
5            GWQMN        000020006.gw 6            1            16           7           
5            GWQMN        000020007.gw 6            1            16           7           
5            GWQMN        000020008.gw 6            1            16           7           
5            GWQMN        000020009.gw 6            1            16           7           
5            GWQMN        000020010.gw 6            1            16           7           
5            GWQMN        000020011.gw 6            1            16           7           
5            GWQMN        000020012.gw 6            1            16           7           
5            GWQMN        000020013.gw 6            1            16           7           
5            GWQMN        000020014.gw 6            1            16           7           
5            GWQMN        000020015.gw 6            1            16           7           
5            GWQMN        000020016.gw 6            1            16           7           
5            GWQMN        000020017.gw 6            1            16           7           
5            GWQMN        000020018.gw 6            1            16           7           
5            GWQMN        000020019.gw 6            1            16           7           
5            GWQMN        000020020.gw 6            1            16           7           
5            GWQMN        000020021.gw 6            1            16           7           
5            GWQMN        000020022.gw 6            1            16           7           
5            GWQMN        000020023.gw 6            1            16           7           
5            GWQMN        000020024.gw 6            1            16           7           
5            GWQMN        000020025.gw 6            1            16           7           
5            GWQMN        000020026.gw 6            1            16           7           
5            GWQMN        000020027.gw 6            1            16           7           
5            GWQMN        000020028.gw 6            1            16           7           
5            GWQMN        000020029.gw 6            1            16           7           
5            GWQMN        000020030.gw 6            1            16           7           
5            GWQMN        000020031.gw 6            1            16           7           
5            GWQMN        000020032.gw 6            1            16           7           
5            GWQMN        000030001.gw 6            1            16           7           
5            GWQMN        000030002.gw 6            1            16           7           
5            GWQMN        000030003.gw 6            1            16           7           
5            GWQMN        000030004.gw 6            1            16           7           
5            GWQMN        000030005.gw 6            1            16           7           
5            GWQMN        000030006.gw 6            1            16           7           
5            GWQMN        000030007.gw 6            1            16           7           
5            GWQMN        000030008.gw 6            1            16           7           
5            GWQMN        000030009.gw 6            1            16           7           
5            GWQMN        000030010.gw 6            1            16           7           
5            GWQMN        000030011.gw 6            1            16           7           
5            GWQMN        000030012.gw 6            1            16           7           
5            GWQMN        000030013.gw 6            1            16           7           
5            GWQMN        000030014.gw 6            1            16           7           
5            GWQMN        000030015.gw 6            1            16           7           
5            GWQMN        000030016.gw 6            1            16           7           
5            GWQMN        000030017.gw 6            1            16           7           
5            GWQMN        000030018.gw 6            1            16           7           
5            GWQMN        000030019.gw 6            1            16           7           
5            GWQMN        000040001.gw 6            1            16           7           
5            GWQMN        000040002.gw 6            1            16           7           
5            GWQMN        000040003.gw 6            1            16           7           
5            GWQMN        000040004.gw 6            1            16           7           
5            GWQMN        000040005.gw 6            1            16           7           
5            GWQMN        000040006.gw 6            1            16           7           
5            GWQMN        000040007.gw 6            1            16           7           
5            GWQMN        000040008.gw 6            1            16           7           
5            GWQMN        000040009.gw 6            1            16           7           
5            GWQMN        000040010.gw 6            1            16           7           
5            GWQMN        000040011.gw 6            1            16           7           
5            GWQMN        000040012.gw 6            1            16           7           
5            GWQMN        000040013.gw 6            1            16           7           
5            GWQMN        000040014.gw 6            1            16           7           
5            GWQMN        000040015.gw 6            1            16           7           
5            GWQMN        000040016.gw 6            1            16           7           
5            GWQMN        000040017.gw 6            1            16           7           
5            GWQMN        000040018.gw 6            1            16           7           
5            GWQMN        000040019.gw 6            1            16           7           
5            GWQMN        000040020.gw 6            1            16           7           
5            GWQMN        000040021.gw 6            1            16           7           
5            GWQMN        000040022.gw 6            1            16           7           
5            GWQMN        000040023.gw 6            1            16           7           
5            GWQMN        000040024.gw 6            1            16           7           
5            GWQMN        000040025.gw 6            1            16           7           
5            GWQMN        000040026.gw 6            1            16           7           
5            GWQMN        000050001.gw 6            1            16           7           
5            GWQMN        000050002.gw 6            1            16           7           
5            GWQMN        000050003.gw 6            1            16           7           
5            GWQMN        000050004.gw 6            1            16           7           
5            GWQMN        000050005.gw 6            1            16           7           
5            GWQMN        000050006.gw 6            1            16           7           
5            GWQMN        000050007.gw 6            1            16           7           
5            GWQMN        000050008.gw 6            1            16           7           
5            GWQMN        000050009.gw 6            1            16           7           
5            GWQMN        000050010.gw 6            1            16           7           
5            GWQMN        000050011.gw 6            1            16           7           
5            GWQMN        000050012.gw 6            1            16           7           
5            GWQMN        000050013.gw 6            1            16           7           
5            GWQMN        000050014.gw 6            1            16           7           
5            GWQMN        000050015.gw 6            1            16           7           
5            GWQMN        000050016.gw 6            1            16           7           
6            GW_REVAP     000010001.gw 7            1            16           7           
6            GW_REVAP     000010002.gw 7            1            16           7           
6            GW_REVAP     000010003.gw 7            1            16           7           
6            GW_REVAP     000010004.gw 7            1            16           7           
6            GW_REVAP     000010005.gw 7            1            16           7           
6            GW_REVAP     000010006.gw 7            1            16           7           
6            GW_REVAP     000010007.gw 7            1            16           7           
6            GW_REVAP     000010008.gw 7            1            16           7           
6            GW_REVAP     000010009.gw 7            1            16           7           
6            GW_REVAP     000010010.gw 7            1            16           7           
6            GW_REVAP     000010011.gw 7            1            16           7           
6            GW_REVAP     000010012.gw 7            1            16           7           
6            GW_REVAP     000010013.gw 7            1            16           7           
6            GW_REVAP     000010014.gw 7            1            16           7           
6            GW_REVAP     000010015.gw 7            1            16           7           
6            GW_REVAP     000010016.gw 7            1            16           7           
6            GW_REVAP     000010017.gw 7            1            16           7           
6            GW_REVAP     000010018.gw 7            1            16           7           
6            GW_REVAP     000010019.gw 7            1            16           7           
6            GW_REVAP     000010020.gw 7            1            16           7           
6            GW_REVAP     000010021.gw 7            1            16           7           
6            GW_REVAP     000020001.gw 7            1            16           7           
6            GW_REVAP     000020002.gw 7            1            16           7           
6            GW_REVAP     000020003.gw 7            1            16           7           
6            GW_REVAP     000020004.gw 7            1            16           7           
6            GW_REVAP     000020005.gw 7            1            16           7           
6            GW_REVAP     000020006.gw 7            1            16           7           
6            GW_REVAP     000020007.gw 7            1            16           7           
6            GW_REVAP     000020008.gw 7            1            16           7           
6            GW_REVAP     000020009.gw 7            1            16           7           
6            GW_REVAP     000020010.gw 7            1            16           7           
6            GW_REVAP     000020011.gw 7            1            16           7           
6            GW_REVAP     000020012.gw 7            1            16           7           
6            GW_REVAP     000020013.gw 7            1            16           7           
6            GW_REVAP     000020014.gw 7            1            16           7           
6            GW_REVAP     000020015.gw 7            1            16           7           
6            GW_REVAP     000020016.gw 7            1            16           7           
6            GW_REVAP     000020017.gw 7            1            16           7           
6            GW_REVAP     000020018.gw 7            1            16           7           
6            GW_REVAP     000020019.gw 7            1            16           7           
6            GW_REVAP     000020020.gw 7            1            16           7           
6            GW_REVAP     000020021.gw 7            1            16           7           
6            GW_REVAP     000020022.gw 7            1            16           7           
6            GW_REVAP     000020023.gw 7            1            16           7           
6            GW_REVAP     000020024.gw 7            1            16           7           
6            GW_REVAP     000020025.gw 7            1            16           7           
6            GW_REVAP     000020026.gw 7            1            16           7           
6            GW_REVAP     000020027.gw 7            1            16           7           
6            GW_REVAP     000020028.gw 7            1            16           7           
6            GW_REVAP     000020029.gw 7            1            16           7           
6            GW_REVAP     000020030.gw 7            1            16           7           
6            GW_REVAP     000020031.gw 7            1            16           7           
6            GW_REVAP     000020032.gw 7            1            16           7           
6            GW_REVAP     000030001.gw 7            1            16           7           
6            GW_REVAP     000030002.gw 7            1            16           7           
6            GW_REVAP     000030003.gw 7            1            16           7           
6            GW_REVAP     000030004.gw 7            1            16           7           
6            GW_REVAP     000030005.gw 7            1            16           7           
6            GW_REVAP     000030006.gw 7            1            16           7           
6            GW_REVAP     000030007.gw 7            1            16           7           
6            GW_REVAP     000030008.gw 7            1            16           7           
6            GW_REVAP     000030009.gw 7            1            16           7           
6            GW_REVAP     000030010.gw 7            1            16           7           
6            GW_REVAP     000030011.gw 7            1            16           7           
6            GW_REVAP     000030012.gw 7            1            16           7           
6            GW_REVAP     000030013.gw 7            1            16           7           
6            GW_REVAP     000030014.gw 7            1            16           7           
6            GW_REVAP     000030015.gw 7            1            16           7           
6            GW_REVAP     000030016.gw 7            1            16           7           
6            GW_REVAP     000030017.gw 7            1            16           7           
6            GW_REVAP     000030018.gw 7            1            16           7           
6            GW_REVAP     000030019.gw 7            1            16           7           
6            GW_REVAP     000040001.gw 7            1            16           7           
6            GW_REVAP     000040002.gw 7            1            16           7           
6            GW_REVAP     000040003.gw 7            1            16           7           
6            GW_REVAP     000040004.gw 7            1            16           7           
6            GW_REVAP     000040005.gw 7            1            16           7           
6            GW_REVAP     000040006.gw 7            1            16           7           
6            GW_REVAP     000040007.gw 7            1            16           7           
6            GW_REVAP     000040008.gw 7            1            16           7           
6            GW_REVAP     000040009.gw 7            1            16           7           
6            GW_REVAP     000040010.gw 7            1            16           7           
6            GW_REVAP     000040011.gw 7            1            16           7           
6            GW_REVAP     000040012.gw 7            1            16           7           
6            GW_REVAP     000040013.gw 7            1            16           7           
6            GW_REVAP     000040014.gw 7            1            16           7           
6            GW_REVAP     000040015.gw 7            1            16           7           
6            GW_REVAP     000040016.gw 7            1            16           7           
6            GW_REVAP     000040017.gw 7            1            16           7           
6            GW_REVAP     000040018.gw 7            1            16           7           
6            GW_REVAP     000040019.gw 7            1            16           7           
6            GW_REVAP     000040020.gw 7            1            16           7           
6            GW_REVAP     000040021.gw 7            1            16           7           
6            GW_REVAP     000040022.gw 7            1            16           7           
6            GW_REVAP     000040023.gw 7            1            16           7           
6            GW_REVAP     000040024.gw 7            1            16           7           
6            GW_REVAP     000040025.gw 7            1            16           7           
6            GW_REVAP     000040026.gw 7            1            16           7           
6            GW_REVAP     000050001.gw 7            1            16           7           
6            GW_REVAP     000050002.gw 7            1            16           7           
6            GW_REVAP     000050003.gw 7            1            16           7           
6            GW_REVAP     000050004.gw 7            1            16           7           
6            GW_REVAP     000050005.gw 7            1            16           7           
6            GW_REVAP     000050006.gw 7            1            16           7           
6            GW_REVAP     000050007.gw 7            1            16           7           
6            GW_REVAP     000050008.gw 7            1            16           7           
6            GW_REVAP     000050009.gw 7            1            16           7           
6            GW_REVAP     000050010.gw 7            1            16           7           
6            GW_REVAP     000050011.gw 7            1            16           7           
6            GW_REVAP     000050012.gw 7            1            16           7           
6            GW_REVAP     000050013.gw 7            1            16           7           
6            GW_REVAP     000050014.gw 7            1            16           7           
6            GW_REVAP     000050015.gw 7            1            16           7           
6            GW_REVAP     000050016.gw 7            1            16           7           
7            REVAPMN      000010001.gw 8            1            16           7           
7            REVAPMN      000010002.gw 8            1            16           7           
7            REVAPMN      000010003.gw 8            1            16           7           
7            REVAPMN      000010004.gw 8            1            16           7           
7            REVAPMN      000010005.gw 8            1            16           7           
7            REVAPMN      000010006.gw 8            1            16           7           
7            REVAPMN      000010007.gw 8            1            16           7           
7            REVAPMN      000010008.gw 8            1            16           7           
7            REVAPMN      000010009.gw 8            1            16           7           
7            REVAPMN      000010010.gw 8            1            16           7           
7            REVAPMN      000010011.gw 8            1            16           7           
7            REVAPMN      000010012.gw 8            1            16           7           
7            REVAPMN      000010013.gw 8            1            16           7           
7            REVAPMN      000010014.gw 8            1            16           7           
7            REVAPMN      000010015.gw 8            1            16           7           
7            REVAPMN      000010016.gw 8            1            16           7           
7            REVAPMN      000010017.gw 8            1            16           7           
7            REVAPMN      000010018.gw 8            1            16           7           
7            REVAPMN      000010019.gw 8            1            16           7           
7            REVAPMN      000010020.gw 8            1            16           7           
7            REVAPMN      000010021.gw 8            1            16           7           
7            REVAPMN      000020001.gw 8            1            16           7           
7            REVAPMN      000020002.gw 8            1            16           7           
7            REVAPMN      000020003.gw 8            1            16           7           
7            REVAPMN      000020004.gw 8            1            16           7           
7            REVAPMN      000020005.gw 8            1            16           7           
7            REVAPMN      000020006.gw 8            1            16           7           
7            REVAPMN      000020007.gw 8            1            16           7           
7            REVAPMN      000020008.gw 8            1            16           7           
7            REVAPMN      000020009.gw 8            1            16           7           
7            REVAPMN      000020010.gw 8            1            16           7           
7            REVAPMN      000020011.gw 8            1            16           7           
7            REVAPMN      000020012.gw 8            1            16           7           
7            REVAPMN      000020013.gw 8            1            16           7           
7            REVAPMN      000020014.gw 8            1            16           7           
7            REVAPMN      000020015.gw 8            1            16           7           
7            REVAPMN      000020016.gw 8            1            16           7           
7            REVAPMN      000020017.gw 8            1            16           7           
7            REVAPMN      000020018.gw 8            1            16           7           
7            REVAPMN      000020019.gw 8            1            16           7           
7            REVAPMN      000020020.gw 8            1            16           7           
7            REVAPMN      000020021.gw 8            1            16           7           
7            REVAPMN      000020022.gw 8            1            16           7           
7            REVAPMN      000020023.gw 8            1            16           7           
7            REVAPMN      000020024.gw 8            1            16           7           
7            REVAPMN      000020025.gw 8            1            16           7           
7            REVAPMN      000020026.gw 8            1            16           7           
7            REVAPMN      000020027.gw 8            1            16           7           
7            REVAPMN      000020028.gw 8            1            16           7           
7            REVAPMN      000020029.gw 8            1            16           7           
7            REVAPMN      000020030.gw 8            1            16           7           
7            REVAPMN      000020031.gw 8            1            16           7           
7            REVAPMN      000020032.gw 8            1            16           7           
7            REVAPMN      000030001.gw 8            1            16           7           
7            REVAPMN      000030002.gw 8            1            16           7           
7            REVAPMN      000030003.gw 8            1            16           7           
7            REVAPMN      000030004.gw 8            1            16           7           
7            REVAPMN      000030005.gw 8            1            16           7           
7            REVAPMN      000030006.gw 8            1            16           7           
7            REVAPMN      000030007.gw 8            1            16           7           
7            REVAPMN      000030008.gw 8            1            16           7           
7            REVAPMN      000030009.gw 8            1            16           7           
7            REVAPMN      000030010.gw 8            1            16           7           
7            REVAPMN      000030011.gw 8            1            16           7           
7            REVAPMN      000030012.gw 8            1            16           7           
7            REVAPMN      000030013.gw 8            1            16           7           
7            REVAPMN      000030014.gw 8            1            16           7           
7            REVAPMN      000030015.gw 8            1            16           7           
7            REVAPMN      000030016.gw 8            1            16           7           
7            REVAPMN      000030017.gw 8            1            16           7           
7            REVAPMN      000030018.gw 8            1            16           7           
7            REVAPMN      000030019.gw 8            1            16           7           
7            REVAPMN      000040001.gw 8            1            16           7           
7            REVAPMN      000040002.gw 8            1            16           7           
7            REVAPMN      000040003.gw 8            1            16           7           
7            REVAPMN      000040004.gw 8            1            16           7           
7            REVAPMN      000040005.gw 8            1            16           7           
7            REVAPMN      000040006.gw 8            1            16           7           
7            REVAPMN      000040007.gw 8            1            16           7           
7            REVAPMN      000040008.gw 8            1            16           7           
7            REVAPMN      000040009.gw 8            1            16           7           
7            REVAPMN      000040010.gw 8            1            16           7           
7            REVAPMN      000040011.gw 8            1            16           7           
7            REVAPMN      000040012.gw 8            1            16           7           
7            REVAPMN      000040013.gw 8            1            16           7           
7            REVAPMN      000040014.gw 8            1            16           7           
7            REVAPMN      000040015.gw 8            1            16           7           
7            REVAPMN      000040016.gw 8            1            16           7           
7            REVAPMN      000040017.gw 8            1            16           7           
7            REVAPMN      000040018.gw 8            1            16           7           
7            REVAPMN      000040019.gw 8            1            16           7           
7            REVAPMN      000040020.gw 8            1            16           7           
7            REVAPMN      000040021.gw 8            1            16           7           
7            REVAPMN      000040022.gw 8            1            16           7           
7            REVAPMN      000040023.gw 8            1            16           7           
7            REVAPMN      000040024.gw 8            1            16           7           
7            REVAPMN      000040025.gw 8            1            16           7           
7            REVAPMN      000040026.gw 8            1            16           7           
7            REVAPMN      000050001.gw 8            1            16           7           
